"","age","price","bedrooms","bathrooms","bathroom_to_bedroom_ratio","floors","waterfront","view","condition","grade","yr_renovated","sqft_living15","sqft_lot15","sqft_above","sqft_basement"
"7631","New","Ultra premium","3","3","Adequate","1","No","No view","Decent","Decent","Not renovated","Small","Small","Large","No basement"
"7632","Average","Cheap","3","1","Less than adequate","1","No","No view","Good","Decent","Not renovated","Small","Large","Very small","No basement"
"7633","Moderately Old","Cheap","2","1","Less than adequate","1","No","No view","Decent","Poor","Not renovated","Small","Large","Very small","No basement"
"7634","Old","Cheap","1","1","Adequate","1","No","No view","Very Poor","Poor","Not renovated","Average","Very large","Very small","No basement"
"7635","Average","Affordable","3","1","Less than adequate","1","No","No view","Excellent","Decent","Not renovated","Very small","Very large","Small","No basement"
"7636","Average","Cheap","6","3","Less than adequate","1","No","No view","Good","Decent","Not renovated","Large","Large","Small","Large"
"7637","Average","Expensive","3","1","Less than adequate","1","No","No view","Good","Decent","Not renovated","Small","Very small","Very small","No basement"
"7638","New","Premium","4","3","Adequate","2","No","Multiple views","Decent","Decent","Not renovated","Very large","Average","Very large","No basement"
"7639","Moderately New","Affordable","3","2","Adequate","1","No","No view","Decent","Decent","Not renovated","Average","Large","Small","No basement"
"7640","Moderately Old","Cheap","3","1","Less than adequate","1","No","No view","Decent","Decent","Renovated","Very small","Average","Very small","No basement"
"7641","Old","Expensive","3","1","Less than adequate","1","No","No view","Decent","Decent","Not renovated","Very small","Small","Small","No basement"
"7642","Moderately New","Ultra premium","4","3","Adequate","3","No","Multiple views","Good","Decent","Not renovated","Large","Very small","Very large","Very Small"
"7643","Old","Expensive","2","1","Less than adequate","1","No","No view","Decent","Decent","Not renovated","Small","Small","Very small","No basement"
"7644","Average","Cheap","4","2","Less than adequate","1","No","Multiple views","Good","Decent","Not renovated","Small","Large","Very small","Large"
"7645","Old","Premium","5","3","Adequate","1","No","No view","Excellent","Decent","Not renovated","Large","Very large","Large","Small"
"7646","Moderately Old","Affordable","2","1","Less than adequate","1","No","No view","Decent","Poor","Not renovated","Average","Average","Very small","No basement"
"7647","Average","Premium","4","3","Adequate","1","No","No view","Decent","Decent","Not renovated","Large","Very large","Average","Large"
"7648","Moderately Old","Cheap","5","3","Adequate","1","No","No view","Decent","Decent","Not renovated","Average","Average","Small","Large"
"7649","Average","Expensive","6","5","Adequate","2","No","No view","Decent","Decent","Not renovated","Large","Average","Very large","No basement"
"7650","Old","Ultra premium","4","4","Adequate","2","No","No view","Excellent","Good","Not renovated","Very large","Average","Very large","Small"
"7651","Moderately New","Ultra premium","3","4","More than adequate","2","No","Multiple views","Decent","Decent","Not renovated","Large","Very large","Very large","Small"
"7652","New","Premium","4","3","Adequate","2","No","No view","Decent","Decent","Not renovated","Very large","Small","Large","No basement"
"7653","New","Ultra premium","4","3","Adequate","2","No","No view","Decent","Decent","Not renovated","Very large","Small","Very large","No basement"
"7654","Moderately Old","Ultra premium","3","3","Adequate","1","No","No view","Good","Decent","Not renovated","Large","Small","Average","Small"
"7655","Average","Cheap","3","1","Less than adequate","1","No","No view","Decent","Decent","Not renovated","Very small","Average","Very small","No basement"
"7656","Moderately New","Expensive","3","2","Adequate","1","No","No view","Good","Decent","Not renovated","Average","Large","Small","Small"
"7657","Moderately New","Premium","3","3","Adequate","2","No","No view","Decent","Decent","Not renovated","Very large","Very large","Very large","No basement"
"7658","Moderately New","Expensive","3","2","Adequate","1","No","No view","Decent","Decent","Not renovated","Average","Average","Average","No basement"
"7659","Moderately Old","Premium","3","2","Adequate","1","No","No view","Good","Decent","Not renovated","Large","Small","Small","Medium"
"7660","New","Affordable","3","2","Adequate","2","No","No view","Decent","Decent","Not renovated","Average","Very small","Average","Very Small"
"7661","Moderately Old","Ultra premium","5","3","Adequate","1","No","No view","Decent","Decent","Renovated","Average","Large","Large","Large"
"7662","Old","Expensive","3","1","Less than adequate","1","No","No view","Good","Poor","Not renovated","Very small","Very large","Very small","No basement"
"7663","Moderately Old","Cheap","3","2","Adequate","1","No","No view","Decent","Decent","Not renovated","Very small","Average","Small","No basement"
"7664","Old","Cheap","3","1","Less than adequate","1","No","No view","Decent","Poor","Not renovated","Very small","Average","Very small","Very Small"
"7665","Moderately Old","Cheap","3","2","Adequate","1","No","No view","Good","Decent","Not renovated","Very large","Very large","Average","No basement"
"7666","Old","Ultra premium","6","5","Adequate","2","No","Multiple views","Good","Decent","Not renovated","Very large","Very small","Large","Large"
"7667","Moderately New","Ultra premium","5","4","Adequate","2","No","No view","Decent","Decent","Not renovated","Large","Very small","Large","Small"
"7668","New","Premium","2","3","More than adequate","1","No","No view","Decent","Decent","Not renovated","Small","Very small","Large","No basement"
"7669","Moderately New","Premium","3","3","Adequate","2","No","No view","Decent","Decent","Not renovated","Large","Large","Very large","No basement"
"7670","Moderately Old","Expensive","3","1","Less than adequate","1","No","No view","Decent","Poor","Not renovated","Average","Very large","Average","Very Small"
"7671","Moderately New","Ultra premium","3","3","Adequate","2","No","No view","Decent","Good","Not renovated","Average","Very large","Very large","No basement"
"7672","Moderately Old","Ultra premium","4","2","Less than adequate","1","No","No view","Excellent","Decent","Not renovated","Large","Small","Small","Large"
"7673","Moderately Old","Affordable","5","2","Less than adequate","2","No","No view","Decent","Decent","Not renovated","Average","Very small","Large","No basement"
"7674","Moderately Old","Ultra premium","3","1","Less than adequate","1","No","No view","Decent","Decent","Not renovated","Very small","Average","Very small","No basement"
"7675","Average","Premium","4","2","Less than adequate","1","No","No view","Good","Decent","Not renovated","Average","Large","Average","Small"
"7676","Moderately New","Affordable","3","2","Adequate","1","No","No view","Good","Decent","Not renovated","Large","Large","Average","No basement"
"7677","Average","Premium","3","2","Adequate","1","No","No view","Good","Decent","Not renovated","Large","Average","Large","No basement"
"7678","Moderately Old","Affordable","4","2","Less than adequate","1","No","No view","Decent","Decent","Not renovated","Small","Average","Small","Small"
"7679","Moderately New","Ultra premium","6","4","Adequate","2","No","No view","Decent","Good","Not renovated","Very large","Very large","Very large","Small"
"7680","Very Old","Affordable","2","1","Less than adequate","1","No","No view","Decent","Poor","Not renovated","Very small","Very small","Very small","Very Small"
"7681","Old","Premium","3","2","Adequate","1","No","No view","Good","Decent","Not renovated","Average","Very small","Very small","Large"
"7682","Moderately New","Affordable","4","2","Less than adequate","1","No","No view","Good","Decent","Not renovated","Average","Average","Small","Medium"
"7683","Average","Premium","3","3","Adequate","1","No","No view","Decent","Decent","Not renovated","Very large","Very large","Large","Very Small"
"7684","Moderately New","Premium","4","2","Less than adequate","2","No","No view","Decent","Decent","Not renovated","Average","Large","Large","No basement"
"7685","Moderately New","Expensive","3","3","Adequate","2","No","No view","Decent","Decent","Not renovated","Average","Very small","Average","No basement"
"7686","Moderately Old","Expensive","3","1","Less than adequate","1","No","Multiple views","Good","Decent","Not renovated","Large","Average","Small","Very Small"
"7687","Average","Cheap","3","1","Less than adequate","1","No","No view","Decent","Decent","Not renovated","Small","Average","Very small","Small"
"7688","Moderately Old","Expensive","4","2","Less than adequate","2","No","No view","Good","Decent","Not renovated","Small","Average","Large","No basement"
"7689","Average","Affordable","4","2","Less than adequate","2","No","No view","Decent","Decent","Not renovated","Large","Large","Large","No basement"
"7690","New","Cheap","3","3","Adequate","2","No","No view","Decent","Decent","Not renovated","Average","Very small","Average","No basement"
"7691","Moderately Old","Affordable","5","2","Less than adequate","1","No","No view","Good","Decent","Not renovated","Average","Large","Small","Large"
"7692","Moderately Old","Affordable","3","2","Adequate","1","No","No view","Decent","Decent","Not renovated","Large","Very large","Average","No basement"
"7693","New","Affordable","3","3","Adequate","2","No","No view","Decent","Decent","Not renovated","Very large","Small","Very large","No basement"
"7694","Old","Ultra premium","4","2","Less than adequate","1","No","No view","Excellent","Decent","Not renovated","Small","Small","Large","No basement"
"7695","Average","Premium","4","3","Adequate","1","No","No view","Good","Decent","Not renovated","Very large","Very large","Very large","No basement"
"7696","Moderately New","Expensive","3","3","Adequate","2","No","No view","Decent","Decent","Not renovated","Very large","Very large","Very large","Small"
"7697","Moderately Old","Cheap","2","1","Less than adequate","1","No","No view","Excellent","Poor","Not renovated","Very small","Small","Very small","No basement"
"7698","Moderately New","Ultra premium","3","3","Adequate","3","Yes","Multiple views","Decent","Good","Renovated","Very large","Very large","Very large","No basement"
"7699","Old","Affordable","3","2","Adequate","1","No","No view","Good","Poor","Not renovated","Very small","Small","Very small","No basement"
"7700","Moderately Old","Affordable","3","2","Adequate","1","No","No view","Excellent","Decent","Not renovated","Small","Average","Average","No basement"
"7701","Moderately Old","Ultra premium","3","2","Adequate","2","No","Multiple views","Decent","Decent","Renovated","Large","Small","Large","No basement"
"7702","Old","Expensive","3","1","Less than adequate","1","No","No view","Good","Poor","Not renovated","Average","Very small","Small","No basement"
"7703","Moderately Old","Ultra premium","4","2","Less than adequate","1","No","No view","Good","Decent","Not renovated","Large","Large","Average","Small"
"7704","New","Premium","4","3","Adequate","2","No","No view","Decent","Decent","Not renovated","Large","Large","Very large","No basement"
"7705","Moderately Old","Expensive","3","2","Adequate","1","No","No view","Decent","Decent","Not renovated","Average","Small","Small","Medium"
"7706","Old","Premium","2","2","Adequate","1","No","No view","Decent","Decent","Not renovated","Large","Small","Small","No basement"
"7707","Moderately New","Premium","4","3","Adequate","2","No","No view","Decent","Decent","Not renovated","Large","Average","Large","No basement"
"7708","Moderately New","Ultra premium","5","4","Adequate","2","No","No view","Decent","Decent","Not renovated","Very large","Very large","Very large","Small"
"7709","Average","Ultra premium","3","3","Adequate","2","No","Single View","Decent","Decent","Not renovated","Very large","Very small","Very large","No basement"
"7710","New","Ultra premium","5","3","Adequate","2","No","Multiple views","Decent","Good","Not renovated","Very large","Average","Very large","No basement"
"7711","Average","Affordable","3","1","Less than adequate","1","No","No view","Good","Decent","Not renovated","Very small","Average","Very small","No basement"
"7712","Old","Expensive","2","2","Adequate","1","No","No view","Good","Poor","Not renovated","Very small","Small","Very small","No basement"
"7713","Moderately New","Cheap","2","2","Adequate","2","No","No view","Decent","Decent","Not renovated","Small","Very small","Small","No basement"
"7714","Moderately Old","Cheap","2","1","Less than adequate","1","No","No view","Decent","Poor","Not renovated","Large","Large","Very small","No basement"
"7715","New","Expensive","4","3","Adequate","2","No","No view","Decent","Decent","Not renovated","Large","Small","Very large","No basement"
"7716","Old","Cheap","2","1","Less than adequate","1","No","No view","Decent","Poor","Not renovated","Average","Large","Very small","Large"
"7717","Average","Cheap","3","2","Adequate","1","No","No view","Good","Decent","Not renovated","Average","Very large","Average","No basement"
"7718","Moderately Old","Premium","3","3","Adequate","1","No","Multiple views","Good","Decent","Not renovated","Large","Very large","Large","No basement"
"7719","Moderately Old","Cheap","3","1","Less than adequate","1","No","No view","Decent","Decent","Not renovated","Very small","Small","Very small","No basement"
"7720","Average","Expensive","3","2","Adequate","1","No","No view","Decent","Decent","Not renovated","Small","Small","Very small","Large"
"7721","Average","Expensive","6","2","Less than adequate","1","No","No view","Decent","Decent","Not renovated","Average","Average","Small","Medium"
"7722","Average","Ultra premium","5","3","Adequate","1","No","No view","Good","Decent","Not renovated","Very large","Very large","Large","Medium"
"7723","Average","Expensive","1","2","More than adequate","1","No","No view","Decent","Decent","Not renovated","Average","Large","Average","Small"
"7724","Old","Ultra premium","4","3","Adequate","2","No","No view","Decent","Decent","Renovated","Small","Very small","Large","Small"
"7725","Average","Cheap","3","1","Less than adequate","1","No","No view","Good","Poor","Not renovated","Very small","Very small","Very small","No basement"
"7726","Moderately New","Expensive","3","3","Adequate","2","No","No view","Good","Decent","Not renovated","Very large","Large","Large","No basement"
"7727","Moderately New","Affordable","2","2","Adequate","2","No","No view","Decent","Decent","Not renovated","Very small","Very small","Very small","Small"
"7728","Moderately New","Ultra premium","4","3","Adequate","2","No","Multiple views","Good","Good","Not renovated","Very large","Very large","Very large","Very Small"
"7729","Moderately New","Ultra premium","4","3","Adequate","2","No","No view","Decent","Good","Not renovated","Very large","Very large","Very large","No basement"
"7730","Old","Affordable","2","1","Less than adequate","1","No","No view","Decent","Poor","Not renovated","Very small","Very small","Very small","Medium"
"7731","Moderately Old","Affordable","4","2","Less than adequate","1","No","No view","Decent","Decent","Not renovated","Average","Average","Small","Medium"
"7732","New","Premium","3","2","Adequate","2","No","No view","Decent","Decent","Not renovated","Large","Very small","Average","Very Small"
"7733","Moderately Old","Affordable","2","1","Less than adequate","1","No","No view","Decent","Decent","Not renovated","Very small","Large","Small","No basement"
"7734","Moderately New","Premium","3","3","Adequate","2","No","No view","Decent","Decent","Not renovated","Large","Small","Large","No basement"
"7735","Moderately New","Ultra premium","3","3","Adequate","2","No","No view","Decent","Good","Not renovated","Very large","Average","Very large","No basement"
"7736","New","Ultra premium","4","4","Adequate","2","No","No view","Decent","Decent","Not renovated","Very large","Small","Very large","Small"
"7737","Old","Premium","5","2","Less than adequate","1","No","No view","Good","Poor","Not renovated","Average","Very small","Small","Medium"
"7738","Old","Ultra premium","3","2","Adequate","1","No","No view","Decent","Decent","Not renovated","Large","Very small","Average","Small"
"7739","Moderately Old","Premium","3","1","Less than adequate","1","No","No view","Decent","Decent","Not renovated","Large","Very large","Average","No basement"
"7740","New","Affordable","4","3","Adequate","2","No","No view","Decent","Decent","Not renovated","Large","Average","Large","No basement"
"7741","New","Affordable","3","3","Adequate","3","No","No view","Decent","Decent","Not renovated","Very small","Very small","Small","No basement"
"7742","Old","Cheap","2","2","Adequate","1","No","Multiple views","Decent","Decent","Not renovated","Very small","Average","Very small","No basement"
"7743","Average","Cheap","4","1","Less than adequate","1","No","No view","Decent","Decent","Not renovated","Small","Average","Large","No basement"
"7744","Moderately Old","Affordable","3","1","Less than adequate","1","No","No view","Decent","Decent","Not renovated","Small","Very large","Very small","No basement"
"7745","Moderately Old","Ultra premium","3","2","Adequate","1","No","No view","Good","Decent","Not renovated","Very large","Large","Large","No basement"
"7746","Average","Expensive","3","1","Less than adequate","1","No","No view","Decent","Decent","Not renovated","Average","Very large","Average","Small"
"7747","Moderately Old","Expensive","3","2","Adequate","1","No","Multiple views","Good","Decent","Not renovated","Large","Average","Very small","Large"
"7748","Moderately Old","Cheap","3","1","Less than adequate","1","No","No view","Decent","Decent","Not renovated","Very small","Average","Very small","No basement"
"7749","Average","Ultra premium","4","2","Less than adequate","2","No","No view","Decent","Decent","Not renovated","Very large","Very large","Very large","No basement"
"7750","Moderately New","Affordable","3","2","Adequate","1","No","No view","Good","Decent","Not renovated","Small","Very large","Average","No basement"
"7751","Old","Expensive","3","2","Adequate","1","No","No view","Decent","Decent","Not renovated","Very small","Average","Average","Small"
"7752","Moderately Old","Expensive","2","1","Less than adequate","1","No","No view","Excellent","Decent","Not renovated","Very small","Average","Very small","Very Small"
"7753","Average","Affordable","3","2","Adequate","1","No","No view","Decent","Decent","Not renovated","Average","Average","Small","Medium"
"7754","Moderately Old","Affordable","2","1","Less than adequate","1","No","No view","Decent","Poor","Not renovated","Very small","Small","Very small","No basement"
"7755","Moderately Old","Cheap","3","2","Adequate","1","No","No view","Good","Decent","Not renovated","Very small","Large","Average","No basement"
"7756","Moderately Old","Expensive","3","2","Adequate","1","No","No view","Good","Decent","Not renovated","Small","Very large","Small","Medium"
"7757","Old","Ultra premium","4","3","Adequate","2","No","No view","Decent","Decent","Renovated","Small","Small","Large","Very Small"
"7758","Old","Cheap","2","1","Less than adequate","1","No","No view","Excellent","Poor","Not renovated","Small","Small","Very small","No basement"
"7759","Old","Cheap","2","1","Less than adequate","1","No","No view","Decent","Poor","Not renovated","Very small","Average","Very small","No basement"
"7760","Old","Premium","3","2","Adequate","1","No","No view","Decent","Decent","Not renovated","Large","Very small","Average","No basement"
"7761","Average","Ultra premium","3","2","Adequate","1","No","No view","Good","Decent","Not renovated","Very small","Large","Small","Medium"
"7762","Average","Expensive","4","2","Less than adequate","2","No","No view","Good","Decent","Not renovated","Average","Very large","Large","No basement"
"7763","Old","Premium","4","2","Less than adequate","2","No","No view","Good","Decent","Not renovated","Average","Very large","Very large","No basement"
"7764","Moderately New","Ultra premium","4","3","Adequate","2","No","No view","Decent","Decent","Not renovated","Very large","Large","Very large","No basement"
"7765","Moderately New","Cheap","2","1","Less than adequate","1","No","No view","Good","Poor","Not renovated","Very small","Large","Very small","No basement"
"7766","Moderately Old","Cheap","3","1","Less than adequate","1","No","No view","Excellent","Decent","Not renovated","Very small","Large","Very small","No basement"
"7767","New","Ultra premium","4","4","Adequate","2","No","No view","Decent","Good","Not renovated","Average","Very large","Very large","No basement"
"7768","New","Premium","3","2","Adequate","3","No","No view","Decent","Decent","Not renovated","Small","Very small","Average","Very Small"
"7769","Old","Cheap","2","2","Adequate","1","No","No view","Excellent","Decent","Not renovated","Very small","Small","Very small","Large"
"7770","Old","Affordable","3","1","Less than adequate","1","No","No view","Decent","Poor","Not renovated","Very small","Small","Small","No basement"
"7771","Moderately Old","Cheap","3","2","Adequate","1","No","No view","Decent","Decent","Not renovated","Very small","Average","Small","No basement"
"7772","Moderately New","Expensive","4","3","Adequate","2","No","No view","Decent","Decent","Not renovated","Very large","Large","Very large","No basement"
"7773","Moderately New","Premium","4","3","Adequate","2","No","No view","Good","Good","Not renovated","Very large","Average","Large","No basement"
"7774","Old","Expensive","1","1","Adequate","1","No","No view","Good","Poor","Not renovated","Very small","Small","Very small","No basement"
"7775","New","Premium","3","3","Adequate","2","No","Multiple views","Decent","Decent","Not renovated","Average","Very small","Small","Small"
"7776","Old","Cheap","2","1","Less than adequate","1","No","No view","Good","Poor","Not renovated","Very small","Large","Very small","No basement"
"7777","Moderately New","Ultra premium","3","3","Adequate","1","No","Multiple views","Decent","Good","Not renovated","Very large","Very large","Large","Small"
"7778","Moderately Old","Premium","3","2","Adequate","1","No","No view","Excellent","Decent","Not renovated","Large","Very large","Large","Small"
"7779","New","Expensive","4","3","Adequate","2","No","No view","Decent","Decent","Not renovated","Very large","Large","Very large","No basement"
"7780","Moderately Old","Premium","2","1","Less than adequate","1","No","No view","Decent","Decent","Renovated","Average","Average","Average","No basement"
"7781","Old","Affordable","2","1","Less than adequate","1","No","No view","Decent","Poor","Not renovated","Very small","Small","Very small","No basement"
"7782","Moderately New","Expensive","4","3","Adequate","1","No","No view","Decent","Decent","Not renovated","Very small","Average","Very small","Medium"
"7783","Old","Cheap","2","1","Less than adequate","1","No","No view","Excellent","Poor","Renovated","Very small","Small","Very small","No basement"
"7784","Old","Affordable","4","2","Less than adequate","1","No","No view","Excellent","Poor","Not renovated","Small","Average","Small","Medium"
"7785","Moderately New","Affordable","2","1","Less than adequate","1","No","No view","Decent","Poor","Not renovated","Average","Very large","Very small","No basement"
"7786","Moderately New","Affordable","5","3","Adequate","1","No","No view","Decent","Decent","Not renovated","Large","Small","Small","Medium"
"7787","Average","Cheap","4","2","Less than adequate","1","No","No view","Good","Decent","Not renovated","Large","Average","Large","No basement"
"7788","Moderately Old","Cheap","3","1","Less than adequate","1","No","No view","Good","Decent","Not renovated","Very small","Average","Very small","No basement"
"7789","Old","Expensive","2","1","Less than adequate","1","No","No view","Decent","Decent","Not renovated","Very small","Small","Small","Very Small"
"7790","Moderately New","Cheap","3","2","Adequate","2","No","No view","Decent","Decent","Not renovated","Average","Average","Very large","No basement"
"7791","Moderately New","Affordable","3","2","Adequate","2","No","No view","Decent","Decent","Not renovated","Average","Average","Very large","No basement"
"7792","Old","Premium","5","3","Adequate","1","No","No view","Good","Decent","Not renovated","Very small","Small","Average","Large"
"7793","Moderately New","Cheap","3","2","Adequate","1","No","No view","Good","Decent","Not renovated","Average","Large","Very small","No basement"
"7794","Moderately New","Premium","4","3","Adequate","1","No","No view","Good","Decent","Not renovated","Large","Very large","Very large","No basement"
"7795","Moderately New","Affordable","4","3","Adequate","2","No","No view","Decent","Decent","Not renovated","Large","Large","Large","No basement"
"7796","Average","Expensive","4","2","Less than adequate","1","No","No view","Excellent","Decent","Not renovated","Large","Average","Large","Small"
"7797","Old","Ultra premium","4","1","Less than adequate","1","No","No view","Excellent","Decent","Not renovated","Average","Very small","Average","No basement"
"7798","Moderately New","Premium","4","3","Adequate","2","No","No view","Good","Decent","Not renovated","Large","Large","Large","No basement"
"7799","New","Affordable","3","3","Adequate","2","No","No view","Decent","Decent","Not renovated","Large","Very small","Large","No basement"
"7800","New","Ultra premium","3","3","Adequate","2","No","No view","Decent","Decent","Not renovated","Average","Average","Large","No basement"
"7801","Old","Affordable","2","1","Less than adequate","1","No","No view","Decent","Poor","Not renovated","Very small","Small","Very small","No basement"
"7802","Moderately Old","Expensive","4","2","Less than adequate","2","No","No view","Good","Decent","Not renovated","Average","Large","Large","No basement"
"7803","Moderately New","Expensive","3","3","Adequate","2","No","No view","Decent","Decent","Not renovated","Average","Very small","Average","No basement"
"7804","Average","Cheap","3","2","Adequate","1","No","No view","Good","Decent","Not renovated","Average","Average","Small","No basement"
"7805","Old","Expensive","4","1","Less than adequate","1","No","No view","Decent","Decent","Not renovated","Very small","Small","Small","No basement"
"7806","New","Ultra premium","5","4","Adequate","3","No","No view","Decent","Decent","Not renovated","Average","Very small","Large","No basement"
"7807","Moderately New","Cheap","3","2","Adequate","2","No","No view","Decent","Decent","Not renovated","Small","Small","Average","No basement"
"7808","Old","Expensive","2","1","Less than adequate","1","No","No view","Good","Decent","Not renovated","Large","Small","Very small","Very Small"
"7809","Average","Expensive","3","2","Adequate","2","No","No view","Good","Decent","Not renovated","Average","Very large","Large","No basement"
"7810","Average","Cheap","3","2","Adequate","1","No","No view","Good","Decent","Not renovated","Average","Large","Small","Small"
"7811","Old","Ultra premium","4","3","Adequate","2","No","Multiple views","Excellent","Decent","Not renovated","Large","Very small","Large","Small"
"7812","Old","Cheap","4","1","Less than adequate","1","No","No view","Decent","Poor","Not renovated","Very small","Very large","Small","Small"
"7813","Average","Ultra premium","5","3","Adequate","2","No","Multiple views","Decent","Decent","Not renovated","Large","Very small","Large","No basement"
"7814","Average","Premium","3","3","Adequate","1","No","No view","Decent","Decent","Not renovated","Average","Average","Large","No basement"
"7815","Average","Cheap","3","2","Adequate","1","No","No view","Good","Decent","Not renovated","Small","Average","Average","No basement"
"7816","Average","Premium","4","3","Adequate","1","No","No view","Good","Decent","Not renovated","Very large","Very large","Average","Small"
"7817","Moderately Old","Cheap","2","1","Less than adequate","1","No","No view","Decent","Poor","Not renovated","Very small","Small","Very small","No basement"
"7818","Moderately New","Cheap","2","2","Adequate","2","No","No view","Decent","Decent","Not renovated","Very small","Very small","Very small","No basement"
"7819","Moderately Old","Premium","5","3","Adequate","1","No","No view","Decent","Decent","Not renovated","Small","Small","Small","Large"
"7820","Old","Cheap","3","1","Less than adequate","1","No","No view","Decent","Poor","Not renovated","Very small","Average","Small","No basement"
"7821","Moderately Old","Ultra premium","4","3","Adequate","1","No","Single View","Decent","Decent","Renovated","Very large","Large","Average","Medium"
"7822","Old","Expensive","2","1","Less than adequate","1","No","No view","Good","Decent","Not renovated","Very small","Very small","Very small","Medium"
"7823","Old","Expensive","4","1","Less than adequate","1","No","No view","Decent","Decent","Not renovated","Average","Small","Small","No basement"
"7824","Moderately Old","Affordable","3","1","Less than adequate","1","No","No view","Decent","Poor","Not renovated","Average","Large","Very small","Small"
"7825","Moderately Old","Premium","4","3","Adequate","1","No","Multiple views","Decent","Decent","Not renovated","Very large","Very large","Large","Very Small"
"7826","Old","Premium","4","2","Less than adequate","1","No","No view","Good","Decent","Not renovated","Average","Very small","Average","Very Small"
"7827","Average","Cheap","3","1","Less than adequate","1","No","No view","Decent","Poor","Not renovated","Very small","Average","Small","No basement"
"7828","Moderately Old","Premium","4","3","Adequate","1","No","No view","Excellent","Decent","Not renovated","Very small","Large","Large","Small"
"7829","Old","Premium","3","1","Less than adequate","1","No","No view","Good","Decent","Not renovated","Small","Very small","Very small","No basement"
"7830","Moderately New","Expensive","3","2","Adequate","1","No","No view","Decent","Decent","Not renovated","Large","Large","Small","No basement"
"7831","Moderately New","Ultra premium","3","3","Adequate","1","No","No view","Decent","Decent","Not renovated","Very large","Very large","Very large","No basement"
"7832","Average","Premium","5","3","Adequate","1","No","Multiple views","Decent","Decent","Not renovated","Very large","Large","Large","Medium"
"7833","Old","Ultra premium","4","3","Adequate","1","No","Multiple views","Good","Decent","Not renovated","Large","Average","Average","Small"
"7834","Moderately Old","Affordable","4","1","Less than adequate","1","No","No view","Excellent","Poor","Not renovated","Very small","Small","Small","No basement"
"7835","Moderately Old","Affordable","4","2","Less than adequate","1","No","No view","Decent","Decent","Not renovated","Large","Very large","Large","No basement"
"7836","Moderately Old","Affordable","3","2","Adequate","1","No","No view","Decent","Decent","Not renovated","Very small","Small","Small","No basement"
"7837","New","Affordable","4","3","Adequate","2","No","No view","Decent","Decent","Not renovated","Average","Very small","Large","No basement"
"7838","Moderately New","Affordable","4","3","Adequate","1","No","No view","Decent","Decent","Not renovated","Small","Very small","Small","Medium"
"7839","Average","Affordable","4","3","Adequate","1","No","No view","Decent","Decent","Not renovated","Average","Average","Small","Medium"
"7840","Moderately New","Affordable","4","3","Adequate","1","No","No view","Decent","Decent","Not renovated","Small","Small","Very small","Large"
"7841","Old","Premium","2","1","Less than adequate","1","No","No view","Good","Decent","Not renovated","Very small","Very small","Very small","No basement"
"7842","Moderately Old","Ultra premium","6","4","Adequate","1","No","No view","Decent","Decent","Renovated","Very large","Very large","Large","Large"
"7843","Moderately New","Ultra premium","4","4","Adequate","1","No","Multiple views","Decent","Good","Not renovated","Very large","Very large","Large","Very large"
"7844","Moderately New","Ultra premium","4","4","Adequate","1","No","Multiple views","Decent","Good","Not renovated","Very large","Very large","Large","Very large"
"7845","Old","Cheap","3","1","Less than adequate","1","No","No view","Decent","Poor","Not renovated","Small","Large","Small","No basement"
"7846","Old","Cheap","3","1","Less than adequate","1","No","No view","Decent","Poor","Not renovated","Small","Large","Small","No basement"
"7847","Very Old","Cheap","3","1","Less than adequate","1","No","No view","Good","Poor","Not renovated","Very small","Average","Very small","No basement"
"7848","Average","Expensive","6","3","Less than adequate","1","No","No view","Good","Decent","Not renovated","Average","Average","Large","Medium"
"7849","Moderately Old","Affordable","2","1","Less than adequate","1","No","No view","Good","Decent","Not renovated","Small","Average","Very small","No basement"
"7850","Old","Premium","3","3","Adequate","1","No","No view","Good","Decent","Not renovated","Average","Very small","Average","Small"
"7851","Old","Expensive","2","2","Adequate","1","No","No view","Good","Poor","Not renovated","Very small","Very small","Very small","No basement"
"7852","New","Ultra premium","4","3","Adequate","3","No","No view","Decent","Good","Not renovated","Average","Small","Very large","Very Small"
"7853","Moderately Old","Affordable","2","1","Less than adequate","1","No","No view","Decent","Poor","Not renovated","Very small","Very small","Very small","No basement"
"7854","Average","Ultra premium","4","2","Less than adequate","1","No","No view","Good","Decent","Not renovated","Very large","Very large","Average","Large"
"7855","Old","Premium","2","2","Adequate","1","No","No view","Good","Decent","Not renovated","Very small","Very small","Very small","Small"
"7856","New","Expensive","3","3","Adequate","2","No","No view","Decent","Decent","Not renovated","Average","Average","Very large","No basement"
"7857","Average","Premium","3","2","Adequate","1","No","No view","Decent","Decent","Not renovated","Large","Average","Small","Medium"
"7858","Old","Ultra premium","4","3","Adequate","1","No","No view","Good","Decent","Not renovated","Average","Very small","Average","Large"
"7859","New","Affordable","2","3","More than adequate","2","No","No view","Decent","Decent","Not renovated","Very small","Very small","Small","No basement"
"7860","Average","Affordable","3","1","Less than adequate","1","No","No view","Decent","Decent","Not renovated","Small","Large","Small","No basement"
"7861","Average","Premium","3","3","Adequate","1","No","No view","Good","Decent","Not renovated","Very large","Very large","Average","Small"
"7862","New","Cheap","2","1","Less than adequate","1","No","No view","Decent","Decent","Not renovated","Average","Very small","Very small","No basement"
"7863","Moderately Old","Cheap","3","1","Less than adequate","1","No","No view","Decent","Decent","Not renovated","Very small","Average","Small","No basement"
